Time [s/256],Respiration Rate (rpm),Breathing Volume (liters/min),Adjusted Breathing Volume (liters/min),Activity (g),Heart Rate (bpm),Stress Levels
434594351872.0,10.0,0.0,0.0,0.0,70.0,1.0
434594352128.0,10.0,0.0,0.0,0.0,70.0,1.0
434594352384.0,10.0,0.0,0.0,0.0,70.0,1.0
434594352640.0,10.0,0.0,0.0,0.19921875,70.0,1.0
434594352896.0,10.0,0.0,0.0,0.42578125,70.0,1.0
434594353152.0,10.0,0.0,0.0,0.3984375,70.0,1.0
434594353408.0,10.0,0.0,0.0,0.1875,70.0,1.0
434594353664.0,10.0,0.0,0.0,0.12890625,70.0,1.0
434594353920.0,10.0,0.0,0.0,0.12890625,70.0,1.0
434594354176.0,10.0,0.0,0.0,0.2421875,70.0,1.0
434594354432.0,10.0,0.0,0.0,0.1796875,70.0,1.0
434594354688.0,10.0,0.0,0.0,0.32421875,70.0,1.0
434594354944.0,10.0,0.0,0.0,0.26953125,70.0,1.0
434594355200.0,10.0,0.0,0.0,0.4296875,70.0,1.0
434594355456.0,10.0,0.0,0.0,0.3125,70.0,1.0
434594355712.0,18.0,36745.76,30064.71272727274,0.25390625,70.0,1.0
434594355968.0,39.0,53624.64,43874.70545454547,0.14453125,70.0,1.0
434594356224.0,60.0,53624.64,43874.70545454547,0.1328125,70.0,1.0
434594356480.0,69.0,53624.64,43874.70545454547,0.14453125,70.0,1.0
434594356736.0,64.0,29534.72,24164.77090909092,0.13671875,59.0,1.0
434594356992.0,50.0,29534.72,24164.77090909092,0.09765625,59.0,1.0
434594357248.0,38.0,44912.96,36746.967272727285,0.015625,64.0,1.0
434594357504.0,33.0,44912.96,36746.967272727285,0.01953125,65.0,1.0
434594357760.0,32.0,44912.96,36746.967272727285,0.01953125,67.0,1.0
434594358016.0,33.0,44912.96,36746.967272727285,0.0,70.0,1.0
434594358272.0,34.0,44912.96,36746.967272727285,0.0234375,69.0,1.0
434594358528.0,34.0,44912.96,36746.967272727285,0.1953125,69.0,1.0
434594358784.0,32.0,35577.119999999995,29108.55272727274,0.17578125,69.0,1.0
434594359040.0,28.0,35577.119999999995,29108.55272727274,0.11328125,66.0,1.0
434594359296.0,24.0,35577.119999999995,29108.55272727274,0.07421875,66.0,1.0
434594359552.0,23.0,35577.119999999995,29108.55272727274,0.0,64.0,1.0
434594359808.0,23.0,35577.119999999995,29108.55272727274,0.0546875,65.0,1.0
434594360064.0,23.0,27834.88,22773.992727272736,0.015625,68.0,1.0
434594360320.0,22.0,27834.88,22773.992727272736,0.0,69.0,1.0
434594360576.0,20.0,27834.88,22773.992727272736,0.015625,69.0,1.0
434594360832.0,20.0,27834.88,22773.992727272736,0.01953125,89.0,1.0
434594361088.0,20.0,24581.28,20111.95636363637,0.01953125,92.0,1.0
434594361344.0,19.0,24581.28,20111.95636363637,0.0,92.0,1.0
434594361600.0,19.0,24581.28,20111.95636363637,0.0,92.0,1.0
434594361856.0,19.0,24581.28,20111.95636363637,0.015625,90.0,1.0
434594362112.0,19.0,22190.88,18156.17454545456,0.015625,89.0,1.0
434594362368.0,18.0,22190.88,18156.17454545456,0.015625,88.0,1.0
434594362624.0,17.0,22190.88,18156.17454545456,0.015625,89.0,1.0
434594362880.0,17.0,19375.52,15852.698181818188,0.0,89.0,1.0
434594363136.0,16.0,19375.52,15852.698181818188,0.0,89.0,1.0
434594363392.0,16.0,19375.52,15852.698181818188,0.015625,89.0,1.0
434594363648.0,16.0,20398.08,16689.338181818188,0.01953125,91.0,1.0
434594363904.0,15.0,20398.08,16689.338181818188,0.046875,90.0,1.0
434594364160.0,15.0,20398.08,16689.338181818188,0.03515625,90.0,1.0
434594364416.0,15.0,14528.32,11886.807272727276,0.03125,90.0,1.0
434594364672.0,15.0,14528.32,11886.807272727276,0.05078125,90.0,1.0
434594364928.0,15.0,13439.36,10995.840000000006,0.12109375,88.0,1.0
434594365184.0,16.0,13439.36,10995.840000000006,0.07421875,88.0,1.0
434594365440.0,17.0,13439.36,10995.840000000006,0.05859375,88.0,1.0
434594365696.0,17.0,15936.0,13038.545454545458,0.08203125,88.0,1.0
434594365952.0,18.0,15936.0,13038.545454545458,0.09765625,85.0,1.0
434594366208.0,19.0,20796.48,17015.301818181826,0.046875,87.0,1.0
434594366464.0,20.0,20796.48,17015.301818181826,0.078125,80.0,1.0
434594366720.0,21.0,22775.2,18634.25454545455,0.01953125,82.0,1.0
434594366976.0,22.0,22775.2,18634.25454545455,0.01953125,79.0,1.0
434594367232.0,23.0,22775.2,18634.25454545455,0.01953125,79.0,1.0
434594367488.0,23.0,24953.12,20416.18909090909,0.01953125,79.0,1.0
434594367744.0,23.0,24953.12,20416.18909090909,0.0234375,79.0,1.0
434594368000.0,23.0,24953.12,20416.18909090909,0.015625,81.0,1.0
434594368256.0,23.0,24953.12,20416.18909090909,0.015625,83.0,1.0
434594368512.0,23.0,23943.84,19590.41454545455,0.0,85.0,1.0
434594368768.0,23.0,23943.84,19590.41454545455,0.015625,86.0,1.0
434594369024.0,23.0,23943.84,19590.41454545455,0.0,87.0,1.0
434594369280.0,23.0,24382.08,19948.974545454552,0.0,88.0,1.0
434594369536.0,23.0,24382.08,19948.974545454552,0.0,92.0,1.0
434594369792.0,23.0,24382.08,19948.974545454552,0.0,92.0,1.0
434594370048.0,22.0,23479.04,19210.12363636364,0.0,96.0,1.0
