Time [s/256],Respiration Rate (rpm),Breathing Volume (liters/min),Adjusted Breathing Volume (liters/min),Activity (g),Heart Rate (bpm),Stress Levels
434595207936.0,11.0,20796.48,19633.04055944057,0.0,90.0,0
434595208192.0,11.0,19375.52,18291.57482517484,0.0,90.0,0
434595208448.0,11.0,19375.52,18291.57482517484,0.0,90.0,0
434595208704.0,11.0,19375.52,18291.57482517484,0.0,91.0,0
434595208960.0,10.0,19375.52,18291.57482517484,0.0,92.0,0
434595209216.0,10.0,19375.52,18291.57482517484,0.0,92.0,0
434595209472.0,10.0,19043.52,17978.148251748262,0.015625,92.0,0
434595209728.0,11.0,19043.52,17978.148251748262,0.01953125,92.0,0
434595209984.0,11.0,19043.52,17978.148251748262,0.03515625,92.0,0
434595210240.0,11.0,19043.52,17978.148251748262,0.03515625,91.0,0
434595210496.0,11.0,15750.08,14868.95664335665,0.0234375,91.0,0
434595210752.0,12.0,15750.08,14868.95664335665,0.015625,91.0,0
434595211008.0,12.0,15750.08,14868.95664335665,0.0859375,84.0,0
434595211264.0,12.0,15750.08,14868.95664335665,0.03515625,84.0,0
434595211520.0,12.0,15750.08,14868.95664335665,0.02734375,83.0,0
434595211776.0,12.0,17091.36,16135.200000000008,0.015625,83.0,0
434595212032.0,13.0,17091.36,16135.200000000008,0.0,85.0,0
434595212288.0,13.0,17091.36,16135.200000000008,0.0,91.0,0
434595212544.0,14.0,17091.36,16135.200000000008,0.0,92.0,0
434595212800.0,14.0,17091.36,16135.200000000008,0.0,92.0,0
434595213056.0,14.0,17091.36,16135.200000000008,0.0,90.0,0
434595213312.0,13.0,17091.36,16135.200000000008,0.0,89.0,0
434595213568.0,13.0,17091.36,16135.200000000008,0.0,92.0,0
434595213824.0,13.0,17091.36,16135.200000000008,0.01953125,91.0,0
434595214080.0,13.0,20291.84,19156.632167832176,0.015625,91.0,0
434595214336.0,13.0,20291.84,19156.632167832176,0.015625,91.0,0
434595214592.0,13.0,20291.84,19156.632167832176,0.0,91.0,0
434595214848.0,12.0,20291.84,19156.632167832176,0.0,95.0,0
434595215104.0,12.0,20291.84,19156.632167832176,0.0,95.0,0
434595215360.0,12.0,20291.84,19156.632167832176,0.0,93.0,0
434595215616.0,13.0,20291.84,19156.632167832176,0.0,89.0,0
434595215872.0,12.0,18977.12,17915.462937062945,0.0,87.0,0
434595216128.0,12.0,18977.12,17915.462937062945,0.0,88.0,0
434595216384.0,11.0,18977.12,17915.462937062945,0.0,87.0,0
434595216640.0,11.0,18977.12,17915.462937062945,0.0,87.0,0
434595216896.0,11.0,18977.12,17915.462937062945,0.0,85.0,0
434595217152.0,11.0,18977.12,17915.462937062945,0.0,83.0,0
434595217408.0,11.0,18977.12,17915.462937062945,0.0,83.0,0
434595217664.0,11.0,18977.12,17915.462937062945,0.0,82.0,0
434595217920.0,11.0,18977.12,17915.462937062945,0.0,83.0,0
434595218176.0,11.0,18977.12,17915.462937062945,0.0,86.0,0
434595218432.0,11.0,18977.12,17915.462937062945,0.0,86.0,0
434595218688.0,11.0,18233.44,17213.38741258742,0.0,86.0,0
434595218944.0,10.0,18233.44,17213.38741258742,0.0,88.0,0
434595219200.0,9.0,18233.44,17213.38741258742,0.0,88.0,0
434595219456.0,9.0,18233.44,17213.38741258742,0.0,87.0,0
434595219712.0,9.0,18233.44,17213.38741258742,0.0,86.0,0
434595219968.0,9.0,18233.44,17213.38741258742,0.0,86.0,0
434595220224.0,9.0,18233.44,17213.38741258742,0.0,86.0,0
434595220480.0,9.0,18233.44,17213.38741258742,0.0,89.0,0
434595220736.0,9.0,18233.44,17213.38741258742,0.0,93.0,0
434595220992.0,9.0,16228.16,15320.290909090918,0.0,93.0,0
434595221248.0,9.0,16228.16,15320.290909090918,0.0,93.0,0
434595221504.0,8.0,16228.16,15320.290909090918,0.0546875,95.0,0
434595221760.0,8.0,16228.16,15320.290909090918,0.04296875,95.0,0
434595222016.0,8.0,16228.16,15320.290909090918,0.12109375,95.0,0
434595222272.0,8.0,16706.239999999998,15771.625174825183,0.05859375,96.0,0
434595222528.0,8.0,16706.239999999998,15771.625174825183,0.015625,98.0,0
434595222784.0,8.0,16706.239999999998,15771.625174825183,0.0,97.0,0
434595223040.0,8.0,16706.239999999998,15771.625174825183,0.0,96.0,0
434595223296.0,8.0,16706.239999999998,15771.625174825183,0.0,95.0,0
434595223552.0,8.0,16706.239999999998,15771.625174825183,0.0,97.0,0
434595223808.0,8.0,16706.239999999998,15771.625174825183,0.0,98.0,0
434595224064.0,8.0,16706.239999999998,15771.625174825183,0.0,98.0,0
434595224320.0,8.0,16706.239999999998,15771.625174825183,0.015625,99.0,0
434595224576.0,8.0,16706.239999999998,15771.625174825183,0.015625,96.0,0
434595224832.0,8.0,16082.08,15182.383216783226,0.01953125,92.0,0
434595225088.0,8.0,16082.08,15182.383216783226,0.0,92.0,0
434595225344.0,8.0,16082.08,15182.383216783226,0.03515625,92.0,0
434595225600.0,7.0,16082.08,15182.383216783226,0.02734375,91.0,0
434595225856.0,7.0,17303.84,16335.793006993015,0.0,89.0,0
434595226112.0,7.0,17303.84,16335.793006993015,0.0,88.0,0
434595226368.0,8.0,17303.84,16335.793006993015,0.0,88.0,0
434595226624.0,8.0,17303.84,16335.793006993015,0.0,86.0,0
434595226880.0,8.0,17303.84,16335.793006993015,0.0,85.0,0
434595227136.0,7.0,17303.84,16335.793006993015,0.0,85.0,0
434595227392.0,7.0,17303.84,16335.793006993015,0.0,85.0,0
434595227648.0,7.0,17303.84,16335.793006993015,0.0,84.0,0
434595227904.0,7.0,17303.84,16335.793006993015,0.0,85.0,0
434595228160.0,7.0,17303.84,16335.793006993015,0.0,85.0,0
434595228416.0,7.0,17303.84,16335.793006993015,0.0,85.0,0
434595228672.0,7.0,17303.84,16335.793006993015,0.0,86.0,0
434595228928.0,7.0,14807.2,13978.825174825182,0.0,86.0,0
434595229184.0,7.0,14807.2,13978.825174825182,0.0,86.0,0
434595229440.0,7.0,14807.2,13978.825174825182,0.0,86.0,0
434595229696.0,7.0,14807.2,13978.825174825182,0.0234375,86.0,0
434595229952.0,7.0,14807.2,13978.825174825182,0.03125,86.0,0
434595230208.0,7.0,14807.2,13978.825174825182,0.0703125,85.0,0
434595230464.0,7.0,14807.2,13978.825174825182,0.03125,88.0,0
434595230720.0,7.0,14807.2,13978.825174825182,0.01953125,91.0,0
434595230976.0,7.0,14807.2,13978.825174825182,0.0,88.0,0
434595231232.0,7.0,14807.2,13978.825174825182,0.0,88.0,0
434595231488.0,7.0,14807.2,13978.825174825182,0.0,88.0,0
434595231744.0,7.0,14807.2,13978.825174825182,0.0,88.0,0
434595232000.0,7.0,14807.2,13978.825174825182,0.0,86.0,0
434595232256.0,7.0,14807.2,13978.825174825182,0.0,86.0,0
434595232512.0,7.0,14807.2,13978.825174825182,0.0,86.0,0
