Time [s/256],Respiration Rate (rpm),Breathing Volume (liters/min),Adjusted Breathing Volume (liters/min),Activity (g),Heart Rate (bpm),Stress Levels
438024496128.0,17.0,6374.4,6017.790209790213,0.015625,88.0,0.0
438024496640.0,17.0,6374.4,6017.790209790213,0.0,89.0,0.0
438024496896.0,17.0,6613.44,6243.457342657347,0.0,89.0,0.0
438024497152.0,17.0,6613.44,6243.457342657347,0.0,89.0,0.0
438024497408.0,17.0,6613.44,6243.457342657347,0.0,88.0,0.0
438024497664.0,17.0,6613.44,6243.457342657347,0.0,88.0,0.0
438024497920.0,17.0,6653.28,6281.068531468535,0.0,88.0,0.0
438024498176.0,17.0,6653.28,6281.068531468535,0.0,89.0,0.0
438024498432.0,17.0,6653.28,6281.068531468535,0.0,89.0,0.0
438024498688.0,17.0,6653.28,6281.068531468535,0.0,89.0,0.0
438024498944.0,17.0,6573.599999999999,6205.846153846158,0.0,89.0,0.0
438024499200.0,17.0,6573.599999999999,6205.846153846158,0.0,89.0,0.0
438024499456.0,17.0,6573.599999999999,6205.846153846158,0.0,89.0,0.0
438024499712.0,16.0,6573.599999999999,6205.846153846158,0.0,90.0,0.0
438024499968.0,16.0,6507.2,6143.160839160842,0.0,90.0,0.0
438024500224.0,16.0,6507.2,6143.160839160842,0.0,91.0,0.0
438024500480.0,16.0,6507.2,6143.160839160842,0.015625,92.0,0.0
438024500736.0,16.0,7091.52,6694.791608391612,0.015625,92.0,0.0
438024500992.0,16.0,7091.52,6694.791608391612,0.015625,93.0,0.0
438024501248.0,16.0,7091.52,6694.791608391612,0.0,94.0,0.0
438024501504.0,17.0,7848.48,7409.4041958042,0.0,95.0,0.0
438024501760.0,17.0,7848.48,7409.4041958042,0.0,95.0,0.0
438024502016.0,17.0,7848.48,7409.4041958042,0.0,95.0,0.0
438024502272.0,17.0,7848.48,7409.4041958042,0.0,95.0,0.0
438024502528.0,17.0,7848.48,7409.4041958042,0.0,95.0,0.0
438024502784.0,17.0,7848.48,7409.4041958042,0.0,95.0,0.0
438024503040.0,16.0,6972.0,6581.958041958046,0.0,95.0,0.0
438024503296.0,16.0,6972.0,6581.958041958046,0.0,94.0,0.0
438024503552.0,15.0,6972.0,6581.958041958046,0.0,93.0,0.0
438024503808.0,15.0,6972.0,6581.958041958046,0.0,93.0,0.0
438024504064.0,15.0,6573.599999999999,6205.846153846158,0.0,92.0,0.0
438024504320.0,15.0,6573.599999999999,6205.846153846158,0.0,92.0,0.0
438024504576.0,15.0,6573.599999999999,6205.846153846158,0.0,92.0,0.0
438024504832.0,15.0,6573.599999999999,6205.846153846158,0.0,92.0,0.0
438024505088.0,15.0,6879.04,6494.198601398604,0.0,92.0,0.0
438024505344.0,15.0,6879.04,6494.198601398604,0.0,90.0,0.0
438024505600.0,15.0,6879.04,6494.198601398604,0.0,89.0,0.0
438024505856.0,15.0,6879.04,6494.198601398604,0.0,89.0,0.0
438024506112.0,15.0,6825.92,6444.0503496503525,0.0,89.0,0.0
